taz_id,n
1,6
2,0
3,0
4,0
5,23
6,0
7,2
8,3
9,0
10,0
11,0
12,20
13,2
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,7
22,17
23,4
24,0
25,17
26,31
27,0
28,0
29,0
30,0
31,14
32,0
33,0
34,0
35,0
36,13
37,0
38,8
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,9
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,44
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,11
80,0
81,0
82,0
83,0
84,4
85,4
86,5
87,0
88,1
89,0
90,0
91,0
92,4
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,11
105,3
106,0
107,0
108,0
109,0
110,15
111,0
112,0
113,0
114,0
115,0
116,19
117,0
118,0
119,0
120,10
121,4
122,2
123,9
124,0
125,6
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,9
136,0
137,0
138,6
139,0
140,0
141,5
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,2
155,8
156,0
157,0
158,0
159,1
160,20
161,10
162,5
163,0
164,0
165,6
166,0
167,9
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,4
192,14
193,0
194,0
195,5
196,7
197,0
198,21
199,0
200,0
201,9
202,5
203,0
204,0
205,0
206,0
207,0
208,0
209,3
210,0
211,10
212,0
213,0
214,2
215,0
216,3
217,0
218,4
219,4
220,0
221,0
222,25
223,0
224,0
225,0
226,0
227,0
228,0
229,7
230,12
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,2
239,37
240,10
241,0
242,0
243,5
244,15
245,6
246,3
247,0
248,0
249,0
250,0
251,0
252,0
253,10
254,1
255,0
256,13
257,10
258,0
259,20
260,0
261,0
262,8
263,0
264,14
265,13
266,0
267,0
268,0
269,10
270,3
271,11
272,23
273,0
274,12
275,0
276,0
277,7
278,0
279,13
280,5
281,3
282,5
283,2
284,2
285,0
286,0
287,0
288,0
289,2
290,11
291,2
292,3
293,0
294,2
295,9
296,1
297,3
298,0
299,2
300,7
301,6
302,12
303,0
304,10
305,24
306,4
307,6
308,12
309,26
310,41
311,1
312,3
313,0
314,4
315,0
316,0
317,7
318,0
319,0
320,0
321,9
322,0
323,2
324,9
325,2
326,10
327,0
328,0
329,2
330,0
331,0
332,10
333,0
334,0
335,2
336,3
337,0
338,4
339,0
340,0
341,0
342,0
343,17
344,2
345,17
346,20
347,2
348,12
349,7
350,0
351,0
352,0
353,0
354,0
355,10
356,12
357,0
358,9
359,9
360,17
361,0
362,0
363,0
364,2
365,4
366,0
367,12
368,0
369,0
370,6
371,0
372,9
373,0
374,0
375,8
376,0
377,10
378,1
379,0
380,10
381,0
382,5
383,0
384,0
385,3
386,3
387,11
388,0
389,0
390,0
391,0
392,0
393,2
394,29
395,11
396,0
397,0
398,0
399,0
400,2
401,5
402,3
403,0
404,5
405,0
406,8
407,2
408,0
409,2
410,0
411,0
412,0
413,11
414,5
415,0
416,8
417,8
418,0
419,9
420,32
421,22
422,16
423,1
424,9
425,4
426,0
427,0
428,21
429,24
430,0
431,41
432,28
433,9
434,9
435,2
436,2
437,0
438,0
439,22
440,17
441,13
442,6
443,0
444,6
445,0
446,10
447,21
448,44
449,15
450,13
451,10
452,5
453,10
454,27
455,6
456,0
457,0
458,0
459,0
460,0
461,3
462,0
463,0
464,0
465,5
466,0
467,8
468,19
469,0
470,0
471,0
472,0
473,8
474,0
475,12
476,0
477,10
478,32
479,65
480,0
481,0
482,0
483,0
484,13
485,0
486,0
487,11
488,0
489,6
490,0
491,0
492,0
493,5
494,7
495,24
496,5
497,4
498,0
499,3
500,4
501,1
502,12
503,35
504,0
505,4
506,6
507,0
508,8
509,3
510,0
511,4
512,3
513,5
514,0
515,4
516,3
517,8
518,4
519,4
520,0
521,11
522,4
523,3
524,2
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,7
533,4
534,6
535,0
536,11
537,0
538,5
539,1
540,0
541,0
542,2
543,7
544,3
545,0
546,0
547,2
548,16
549,19
550,0
551,21
552,6
553,7
554,12
555,0
556,0
557,1
558,5
559,15
560,5
561,5
562,3
563,5
564,0
565,27
566,6
567,7
568,0
569,0
570,1
571,56
572,6
573,18
574,30
575,12
576,19
577,19
578,13
579,0
580,0
581,0
582,2
583,0
584,1
585,10
586,0
587,9
588,0
589,0
590,0
591,0
592,0
593,0
594,34
595,0
596,16
597,0
598,0
599,16
600,5
601,0
602,0
603,0
604,0
605,1
606,21
607,0
608,0
609,3
610,0
611,3
612,1
613,1
614,1
615,20
616,8
617,8
618,7
619,2
620,0
621,0
622,1
623,0
624,37
625,24
626,5
627,0
628,21
629,5
630,0
631,0
632,0
633,4
634,0
635,0
636,0
637,2
638,0
639,7
640,0
641,11
642,7
643,12
644,13
645,3
646,0
647,0
648,9
649,0
650,10
651,0
652,0
653,12
654,0
655,0
656,0
657,0
658,0
659,0
660,3
661,0
662,13
663,7
664,0
665,0
666,5
667,7
668,22
669,27
670,11
671,7
672,0
673,0
674,0
675,0
676,0
677,0
